class_id,action_name,all_local_invalid
0,Wash_face,0.0018001800180018
1,Brush_teeth,0.0037002775208140612
2,Comb_hair,0.02382782475019216
3,Take_off_clothes,0.012185215272136474
4,Wipe_hands,0.003075030750307503
5,Put_on_clothes,0.0480217456961643
6,Drink_water,0.013723696248856358
7,Eat_food,0.0038900414937759337
8,Take_and_use_tableware,0.011412268188302425
9,Pour_drinks,0.010007505629221916
10,Stir_drinks,0.004004368401892974
11,Peel_fruits,0.020171457387796268
12,Sweep_the_floor,0.017051416579223506
13,Mop_the_floor,0.007833920877399139
14,Wipe_bowls,0.01943095072866065
15,Wipe_windows_and_tables,0.05271160669031931
16,Fold_clothes,0.0008710801393728223
17,Tap_the_keyboard,0.055802908875037104
18,Write,0.07356715141146279
19,Make_a_phone_call,0.0027567195037904893
20,Check_the_time,0.021364576154376293
21,Read_documents,0.013943510904540579
22,Turn_pages,0.05166586190246258
23,Listen_to_music_with_headphones,0.024849130280440185
24,Use_a_mobile_phone,0.013029315960912053
25,Watch_TV,0.02832244008714597
26,Play_games,0.004335260115606936
27,Take_a_selfie,0.09657320872274143
28,Jog_in_place,0.0
29,Do_squats,0.006541291905151268
30,Do_jumping_jacks,0.0
31,Do_stretching_exercises,0.01413292589763178
32,Stand_up,0.053631284916201116
33,Lie_down,0.2833935018050541
34,Sit_down,0.01417233560090703
35,Do_lunges,0.02754237288135593
36,Walk,0.20381542475134518
37,Take_medicine,0.0022396416573348264
38,Massage_oneself,0.004283674440742504
39,Take_body_temperature,0.0015255530129672007
