sample_id,class_id,action_name,user_id,trial_id,fold_split,frame_id,timestamp,frame_key,skeleton_json_path,duplicate_json_files_for_frame,people_count,candidate_index,selection_margin,clean_status,selection_reason,use_for_frame_training,retained_segment_index
train__c00__user4__1-1-2,0,Wash_face,user4,1-1-2,validation,102,2025-05-08_11-45-26.116,2025-05-08_11-45-26.116_00000102,Skeleton/0_Wash_face/user4/1-1-2/predictions/Color_2025-05-08_11-45-26.116_00000102.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user6__1-1-3,0,Wash_face,user6,1-1-3,train,79,2025-05-31_17-47-37.816,2025-05-31_17-47-37.816_00000079,Skeleton/0_Wash_face/user6/1-1-3/predictions/Color_2025-05-31_17-47-37.816_00000079.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,83,2025-05-31_18-06-28.216,2025-05-31_18-06-28.216_00000083,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-28.216_00000083.json,1,3,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,84,2025-05-31_18-06-28.316,2025-05-31_18-06-28.316_00000084,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-28.316_00000084.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,88,2025-05-31_18-06-28.716,2025-05-31_18-06-28.716_00000088,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-28.716_00000088.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,89,2025-05-31_18-06-28.816,2025-05-31_18-06-28.816_00000089,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-28.816_00000089.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,90,2025-05-31_18-06-28.916,2025-05-31_18-06-28.916_00000090,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-28.916_00000090.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,91,2025-05-31_18-06-29.016,2025-05-31_18-06-29.016_00000091,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-29.016_00000091.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,92,2025-05-31_18-06-29.116,2025-05-31_18-06-29.116_00000092,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-29.116_00000092.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,93,2025-05-31_18-06-29.216,2025-05-31_18-06-29.216_00000093,Skeleton/0_Wash_face/user8/1-1-1/predictions/Color_2025-05-31_18-06-29.216_00000093.json,1,2,,,ambiguous,multi_person_visual_decision_unavailable,False,
