sample_id,class_id,action_name,user_id,frames,mean_best_rmse,median_relative_margin,confident_10pct_rate,confident_20pct_rate,json_first_rate
train__c00__user6__1-1-1,0,Wash_face,user6,47,0.16515567587241947,0.7960997682860205,1.0,1.0,1.0
train__c00__user6__1-1-2,0,Wash_face,user6,45,0.16084355475892123,0.829028983249251,1.0,1.0,1.0
train__c00__user6__1-1-3,0,Wash_face,user6,33,0.2241921987655186,0.7742217122450508,1.0,1.0,1.0
train__c00__user8__1-1-1,0,Wash_face,user8,15,0.21187370641323441,0.7306559175979295,1.0,1.0,1.0
train__c00__user8__1-1-2,0,Wash_face,user8,11,0.24123826704277962,0.731755775160234,1.0,1.0,1.0
train__c00__user8__1-1-3,0,Wash_face,user8,11,0.17066377776591146,0.777334811727783,1.0,1.0,1.0
train__c00__user8__7-1-1,0,Wash_face,user8,10,0.2013403310704523,0.591009223957968,1.0,1.0,1.0
train__c00__user8__7-1-2,0,Wash_face,user8,11,0.24743842008629588,0.6385140039924639,1.0,0.9090909090909091,0.9090909090909091
train__c00__user8__7-1-3,0,Wash_face,user8,2,0.4563567440671901,0.4590441842634163,1.0,1.0,1.0
train__c01__user22__2-2-2,1,Brush_teeth,user22,1,0.17035599785543093,0.7447634541343339,1.0,1.0,1.0
train__c01__user6__1-1-1,1,Brush_teeth,user6,71,0.15241060364921555,0.7841475095414169,1.0,1.0,1.0
train__c01__user6__1-1-2,1,Brush_teeth,user6,75,0.19333558270860923,0.7811204564086283,1.0,1.0,1.0
train__c01__user6__1-1-3,1,Brush_teeth,user6,28,0.33588955738371556,0.5190055334102678,0.9285714285714286,0.7857142857142857,0.9285714285714286
train__c01__user7__1-1-1,1,Brush_teeth,user7,36,0.18472307910287086,0.790474147123275,1.0,1.0,1.0
train__c01__user7__1-1-2,1,Brush_teeth,user7,18,0.15762786734043838,0.7660883465506266,1.0,1.0,1.0
train__c01__user7__1-1-3,1,Brush_teeth,user7,21,0.1338791845112126,0.7980016347892691,1.0,1.0,1.0
train__c01__user8__1-1-1,1,Brush_teeth,user8,23,0.1335317512382441,0.7865290964189732,1.0,1.0,1.0
train__c01__user8__1-1-2,1,Brush_teeth,user8,36,0.1335231935233788,0.792270004274866,1.0,1.0,1.0
train__c01__user8__1-1-3,1,Brush_teeth,user8,40,0.12810142154360465,0.7673209091666722,1.0,1.0,1.0
train__c01__user8__7-1-1,1,Brush_teeth,user8,13,0.12519114308991874,0.8175195310035177,1.0,1.0,1.0
train__c01__user8__7-1-2,1,Brush_teeth,user8,13,0.10795035644920971,0.8106953352590898,1.0,1.0,1.0
train__c01__user8__7-1-3,1,Brush_teeth,user8,9,0.13800984195182095,0.7919103656732497,1.0,1.0,1.0
train__c01__user9__1-1-1,1,Brush_teeth,user9,22,0.2524115590385803,0.6359298339666775,1.0,1.0,1.0
train__c02__user6__2-2-1,2,Comb_hair,user6,24,0.11868267516203866,0.813911625814445,1.0,1.0,1.0
